abs,delta_deg,i,imag,j,matrix,real,theta12_deg,theta13_deg,theta23_deg
0.9981628429572703,,1,0.0,1,CKM,0.9981628429572703,,,
0.05354475213778307,,1,0.0,2,CKM,0.05354475213778307,,,
0.0089515617269326,,1,0.0,3,CKM,-0.0089515617269326,,,
0.053520926975673,,2,0.0,1,CKM,-0.053520926975673,,,
0.9966024225381801,,2,0.0,2,CKM,0.9966024225381801,,,
0.03848580586681056,,2,0.0,3,CKM,0.03848580586681056,,,
0.010610645390599329,,3,0.0,1,CKM,0.010610645390599329,,,
0.039877258649469505,,3,0.0,2,CKM,-0.039877258649469505,,,
0.9969256584242805,,3,0.0,3,CKM,0.9969256584242805,,,
,-0.0,,,,CKM_angles,,3.0694792667693576,0.5128935568921446,2.205707371704672
0.9971623340851923,,1,0.0,1,PMNS,0.9971623340851923,,,
0.07237305233286624,,1,0.0,2,PMNS,0.07237305233286624,,,
0.009370747343305435,,1,0.0,3,PMNS,-0.009370747343305435,,,
0.07236392856768552,,2,0.0,1,PMNS,-0.07236392856768552,,,
0.9943649755374245,,2,0.0,2,PMNS,0.9943649755374245,,,
0.05665844922009437,,2,0.0,3,PMNS,0.05665844922009437,,,
0.012779576074443435,,3,0.0,1,PMNS,0.012779576074443435,,,
0.05864418149847634,,3,0.0,2,PMNS,-0.05864418149847634,,,
0.9948308711784705,,3,0.0,3,PMNS,0.9948308711784705,,,
,-0.0,,,,PMNS_angles,,4.1504815060194105,0.5369121316404388,3.2481721589571597
